hostname;port;description
swLPD-1B-2;gi1/0/38;PC_SAMSUNG??
swGPD-S3;gi1/0/7;PC_KPOLARCZYK-M
swLPD-1B-3;gi1/0/9;D_10.92
swLPD-1B-2;gi1/0/39;VOIP_130.36
swGPD-S3;gi1/0/8;PC_FPIETRAS-M
swLPD-1B-3;te1/0/1;swLPD-1B-2
swLPD-1B-2;gi1/0/40;VOIP_130.37
swGPD-S3;gi1/0/9;PC_KZWIERNIK-M
swLPD-1B-2;gi1/0/41;VOIP_130.38
swGPD-S3;gi1/0/11;I-TEC
swLPD-1B-2;gi1/0/42;D_10.65
swGPD-S3;gi1/0/12;PC_KSTARMACH-M
swLPD-1B-2;gi1/0/43;D_10.27
swGPD-S3;gi1/0/15;PC_LRYBARZ
swLPD-1B-2;gi1/0/44;D_ETYKIET_023
swGPD-S3;gi1/0/16;PC_RMURAWSKI-M
swLPD-1B-2;gi1/0/45;D_10.57
swGPD-S3;gi1/0/17;PC_WPOLARCZYK
swLPD-1B-2;gi1/0/46;KD_MAC_NOT_IN_ARP
swGPD-S3;gi1/0/18;PC_FGASZCZAK-M
swLPD-1B-2;gi1/0/47;Kluczykomat
swGPD-S3;gi1/0/21;PC_SJANY
swLPD-1B-2;gi1/0/48;swDante
swGPD-S3;gi1/0/23;D_10.50
swLPD-1B-2;te1/0/1;swLPD-1B-1
swGPD-S3;gi1/0/24;PC_AKRUPA
swLPD-1B-2;te1/0/3;swLPD-1B-3
swGPD-S3;gi1/0/27;PC_DPERETIATKO
swGPD-S3;gi1/0/37;PC_NO_MAC
swGPD-S3;gi1/0/45;PC_MBIZUGA-M
swGPD-S3;gi1/0/46;PC_KWROBEL
swGPD-S3;gi1/0/47;INEA_TV_SZEF
